codigo autonomia,nombre,slug,lon,lat
1,Andalucía,andalucia,-4.7277528,37.5442706
2,Aragón,aragon,-0.9056623,41.5976275
3,Principado de Asturias,asturias,-5.8593267,43.3613953
4,Baleares,baleares,2.8577105,39.5341789
5,Canarias,canarias,-16.6291304,28.2915637
6,Cantabria,cantabria,-3.9878427,43.1828396
7,Castilla y León,castilla-leon,-4.397635699999999,41.83568210000001
8,Castilla-La Mancha,castilla-la-mancha,-3.097702,39.2795607
9,Cataluña,catalunya,1.5208624,41.5911589
10,Comunidad Valenciana,comunidad-valenciana,-0.7532808999999999,39.4840108
11,Extremadura,extremadura,-6.0679194,39.4937392
12,Galicia,galicia,-8.1338558,42.5750554
13,Comunidad de Madrid,madrid,-3.7038322,40.4167515
14,Región de Murcia,murcia,-1.366216,38.1398141
15,Comunidad Foral de Navarra,navarra,-1.6760691,42.6953909
16,País Vasco,pais-vasco,-2.6189273,42.9896248
17,La Rioja,la-rioja,-2.539603,42.2870733
18,Ceuta,ceuta,-5.3213455,35.8893874
19,Melilla,melilla,-2.9380973,35.2922775
